Row Labels,
Sum of white,63767
Sum of hispanic,43192
VA,
Sum of african american,44562
Sum of pacific islander,89125
Sum of american indian,54031
Sum of asian american,94896
Sum of white,70415
Sum of hispanic,60904
VT,
Sum of african american,50417
Sum of pacific islander,
Sum of american indian,40167
Sum of asian american,55179
Sum of white,55504
Sum of hispanic,51231
WA,
Sum of african american,42200
Sum of pacific islander,52165
Sum of american indian,40216
Sum of asian american,74914
Sum of white,63582
Sum of hispanic,44073
WI,
Sum of african american,27099
Sum of pacific islander,35588
Sum of american indian,37492
Sum of asian american,57785
Sum of white,56470
Sum of hispanic,37766
WV,
Sum of african american,29202
Sum of pacific islander,36375
Sum of american indian,24278
Sum of asian american,57500
Sum of white,42224
Sum of hispanic,40847
WY,
Sum of african american,38958
Sum of pacific islander,131176
Sum of american indian,42326
Sum of asian american,38762
Sum of white,60950
Sum of hispanic,43813
Total Sum of african american,1883413
Total Sum of pacific islander,2260844
Total Sum of american indian,1926787
Total Sum of asian american,3341977
Total Sum of white,3105690
Total Sum of hispanic,2175203
